PROYECTO;TAREA;DESCRIPCION;SECCION;FECHA;PERIODICIDAD;ORDEN;RESPONSABLE;CODPROY;CODTAREA;ETIQUETA;CODIGO;TIPO;ORDEN;CODCLI2;1;
Ruta Dario Miercoles;22759, ALCINA HNOS LTDA;????/// http://maps.google.com/?q=-34.7890557002422,-55.4666994139552;;2025-02-05T03:00:00.000Z;cada miercoles;13;26988122;2236031621;3898370088;MN_C_Venta;22759;Ruta;1;22759;;
Ruta Dario Miercoles;80231,ALMACEN NOHU;"??????/// Marcador 67
2024/10/28 @ 12:01:12
http://maps.google.com/?q=-34.79215446261853,-55.46157417249222";;2025-02-05T03:00:00.000Z;CADA MIERCOLES;14;26988122;2236031621;6528211989;MN_C_Venta;80231;Ruta;1;80231;;
Ruta Dario Miercoles;22138, RODRIGUEZ Y CALOCA;??/// http://maps.google.com/?q=-34.76594027883759,-55.58412417769432;;2025-02-05T03:00:00.000Z;cada miercoles;15;26988122;2236031621;3898370142;MN_C_Venta;22138;Ruta;1;22138;;
Ruta Dario Miercoles;22351, SANDRA GERVASINI;????/// http://maps.google.com/?q=-34.765865087662426,-55.584125854074955;;2025-02-05T03:00:00.000Z;cada miercoles;16;26988122;2236031621;3898370145;MN_C_Venta;22351;Ruta;1;22351;;
Ruta Dario Miercoles;80100,FACUNDO MARTINEZ;????/// http://maps.google.com/?q=-34.77104926233962,-55.58821521699428;;2025-02-05T03:00:00.000Z;CADA MIERCOLES;17;26988122;2236031621;4218573540;MN_C_Venta;80100;Ruta;1;80100;;
Ruta Dario Miercoles;80116,ALMACEN EL HORNERO;??/// http://maps.google.com/?q=-34.76127994910307,-55.59510380029678;;2025-02-05T03:00:00.000Z;CADA MIERCOLES;18;26988122;2236031621;4628510667;MN_C_Venta;80116;Ruta;1;80116;;
Ruta Dario Miercoles;80233,MINIMARKET Y ROTI EL REPECHO;"????/// Marcador 62
2024/10/28 @ 10:59:28
http://maps.google.com/?q=-34.7690565,-55.577955";;2025-02-05T03:00:00.000Z;cada miércoles;19;26988122;2236031621;8193387568;MN_5_No_Roto_Merc.;80233;Ruta;1;80233;;
Ruta Dario Miercoles;80112,PUESTO ANGELO;http://maps.google.com/?q=-34.786642,-55.468067;;2025-02-05T03:00:00.000Z;cada mie;20;26988122;2236031621;4630633167;MN_5_No_Roto_Merc.;80112;Ruta;1;80112;;
Ruta Dario Miercoles;62663, BUENA ONDA;"????/// Marcador 159
lat/lng: (-34.772,-55.7612)
[http://maps.google.com/?q=-34.77199969117218,-55.7612032815814](http://maps.google.com/?q=-34.77199969117218,-55.7612032815814)";;2025-02-05T03:00:00.000Z;cada mie;21;26988122;2236031621;8315089620;MN_NV_No_Visitado;62663;Ruta;1;62663;;
Ruta Dario Miercoles;80313,SOL Y AGU;http://maps.google.com/?q=-34.770816,-55.575468;;2025-02-05T03:00:00.000Z;CADA MIERCOLES;22;26988122;2236031621;8624170163;MN_Cerr._Definitivo;80313;Ruta;1;80313;;
Ruta Dario Miercoles;81233, EL LOLO.;"??????/// Marcador 26
2024/10/18 @ 17:14:54
http://maps.google.com/?q=-34.76251777156095,-55.745491571724415";;2025-02-05T03:00:00.000Z;CADA MIERCOLES;23;26988122;2236031621;8196644034;MN_Cerr._Definitivo;81233;Ruta;1;81233;;
Ruta Dario Miercoles;62867,GORDIOLA Ma SUSANA;"????/// Marcador 153
lat/lng: (-34.77486,-55.76235)
[http://maps.google.com/?q=-34.7748616524246,-55.76235327869654](http://maps.google.com/?q=-34.7748616524246,-55.76235327869654)";;2025-02-05T12:00:00.000Z;cada mie 9:00;24;26988122;2236031621;3909392285;MN_C_Venta;62867;Ruta;1;62867;;
Ruta Dario Miercoles;62775, PALMIRA GADEA;"????/// Marcador 154
lat/lng: (-34.77401,-55.76178)
[http://maps.google.com/?q=-34.77400681989089,-55.761782974004745](http://maps.google.com/?q=-34.77400681989089,-55.761782974004745)";;2025-02-05T12:00:00.000Z;cada mie 9:00;25;26988122;2236031621;4285701589;MN_C_Venta;62775;Ruta;1;62775;;
Ruta Dario Miercoles;11910, LA 1 ALEJANDRA PAGANI (Parque del Plata);????/// http://maps.google.com/?q=-34.76939734636797,-55.72957701981068;;2025-02-05T03:00:00.000Z;cada mie;26;26988122;2236031621;4364269722;MN_5_No_Roto_Merc.;11910;Ruta;1;11910;;
Ruta Dario Miercoles;80203, KIOSCO LO NUESTRO (Poner ubicacion en comentarios);??///;;2025-02-05T03:00:00.000Z;cada mie;27;26988122;2236031621;8655935997;MN_5_No_Roto_Merc.;80203;Ruta;1;80203;;
Ruta Dario Miercoles;80203, KIOSCO LO NUESTRO (Poner ubicacion en comentarios);??///;;2025-02-05T03:00:00.000Z;cada miercoles;28;26988122;2236031621;8655937335;MN_5_No_Roto_Merc.;80203;Ruta;1;80203;;
Ruta Dario Miercoles;80321, VERONICA, LA MARQUEZA;;;2025-02-05T03:00:00.000Z;CADA MIE;29;26988122;2236031621;8722225461;MN_C_Venta;80321;Ruta;1;80321;;
Ruta Dario Miercoles;11998, CARLOS BONAHON;??/// http://maps.google.com/?q=-34.75640064350952,-55.724070444703095;;2025-02-05T03:00:00.000Z;cada miercoles;30;26988122;2236031621;8778695836;MN_5_No_Roto_Merc.;11998;Ruta;1;11998;;
